	functional_variant_rsid	tsnp_rsid	R2_all	R2_afr	R2_amr	R2_eas	R2_eur	R2_sas	bloodtypes
0	rs8176719	rs505922	0.7625	0.4375	0.8204	0.946	0.8687	0.9331	o_vs_non-o
1	rs8176719	rs514659	0.6861	0.3019	0.8	0.9542	0.8565	0.9331	o_vs_non-o
2	rs8176719	rs529565	0.728	0.3872	0.7977	0.9379	0.8608	0.9331	o_vs_non-o
3	rs8176719	rs612169	0.6847	0.3008	0.8	0.9542	0.8528	0.9331	o_vs_non-o
4	rs8176719	rs657152	0.7472	0.3427	0.9097	0.9256	0.9713	0.9958	o_vs_non-o
5	rs8176719	rs687289	0.7609	0.4476	0.8223	0.975	0.8603	0.9622	o_vs_non-o
6	rs8176719	rs8176645	0.7738	0.3955	0.9137	0.946	0.9752	0.9621	o_vs_non-o
7	rs8176719	rs8176693	0.3003	0.2932	0.16	0.3914	0.1416	0.4467	o_vs_non-o
8	rs8176719	rs8176704	0.0903	0.1368	0.1496		0.1637	0.0438	o_vs_non-o
9	rs8176719	rs8176719	1.0	1.0	1.0	1.0	1.0	1.0	o_vs_non-o
0	rs8176746	rs7853989	0.9153	0.9581	0.72	0.9937	0.7151	0.9558	a_vs_b
1	rs8176746	rs8176672	0.8372	0.5418	0.9366	0.9558	1.0	0.9603	a_vs_b
2	rs8176746	rs8176720	0.2163	0.2123	0.0511	0.2566	0.1816	0.3452	a_vs_b
3	rs8176746	rs8176722	0.8465	0.7515	0.72	0.9937	0.7221	0.9218	a_vs_b
4	rs8176746	rs8176741	0.9954	0.9893	1.0	0.9937	1.0	1.0	a_vs_b
5	rs8176746	rs8176743	0.9954	0.9893	1.0	0.9937	1.0	1.0	a_vs_b
6	rs8176746	rs8176746	1.0	1.0	1.0	1.0	1.0	1.0	a_vs_b
7	rs8176746	rs8176747	1.0	1.0	1.0	1.0	1.0	1.0	a_vs_b
8	rs8176746	rs8176749	0.9985	1.0	1.0	0.9936	1.0	1.0	a_vs_b
