,refid,o_snp,a_b_snp,total_cohort_n,afr_n,amr_n,eas_n,eur_n,sas_n,other_n,1000g_pop,pop,pop_n,o_r2,ab_r2
1,49,rs687289,rs8176749,1104,552,0,0,552,0,0,"AFR, EUR",AFR,552,0.4476,1.0
2,325,rs8176719,,3493,3493,0,0,0,0,0,AFR,AFR,3493,1.0,
3,730,rs8176719,,101,101,0,0,0,0,0,AFR,AFR,101,1.0,
5,1950,rs687289,rs8176749,1104,552,0,0,552,0,0,"AFR, EUR",AFR,552,0.4476,1.0
6,7,unclear,unclear,1082,419,0,0,663,0,0,"AFR, EUR",AFR,419,,
7,11,rs8176719,unclear,1500,401,0,0,1099,0,0,"AFR, EUR",AFR,401,1.0,
16,1561,unclear,unclear,1147,1147,0,0,0,0,0,AFR,AFR,1147,,
17,1763,rs529565,rs8176749,23603,5047,0,0,18556,0,0,"AFR, EUR",AFR,5047,0.3872,1.0
26,1192,rs8176719,rs8176720,92,0,0,92,0,0,0,EAS,EAS,92,1.0,0.2566
28,1656,rs8176719,rs8176749,129,0,0,129,0,0,0,EAS,EAS,129,1.0,0.9936
38,1200,rs8176719,,396,0,0,396,0,0,0,EAS,EAS,396,1.0,
49,1893,rs8176719,,4947,0,0,4947,0,0,0,EAS,EAS,4947,1.0,
57,49,rs687289,rs8176749,1104,552,0,0,552,0,0,"AFR, EUR",EUR,552,0.8603,1.0
58,734,rs505922,,69199,0,0,0,69199,0,0,EUR,EUR,69199,0.8687,
59,804,rs514659,,2015,0,0,0,2015,0,0,EUR,EUR,2015,0.8565,
62,823,rs514659,,2835,0,0,0,2835,0,0,EUR,EUR,2835,0.8565,
63,824,rs514659,rs8176749,2821,0,0,0,2821,0,0,EUR,EUR,2821,0.8565,1.0
65,839,rs514659,rs8176749,15792,0,0,0,15792,0,0,EUR,EUR,15792,0.8565,1.0
67,1127,rs8176719,rs8176749,1263,0,0,0,1263,0,0,EUR,EUR,1263,1.0,1.0
68,1310,rs8176645,rs8176749,4803,0,0,0,4803,0,0,EUR,EUR,4803,0.9752,1.0
70,1777,unclear,unclear,1425,0,0,0,1425,0,0,EUR,EUR,1425,,
72,1874,unclear,unclear,7761,0,0,0,7161,0,600,"EUR, other",EUR,7161,,
73,1950,rs687289,rs8176749,1104,552,0,0,552,0,0,"AFR, EUR",EUR,552,0.8603,1.0
74,7,unclear,unclear,1082,419,0,0,663,0,0,"AFR, EUR",EUR,663,,
75,11,rs8176719,unclear,1500,401,0,0,1099,0,0,"AFR, EUR",EUR,1099,1.0,
78,60,rs8176719,,244,0,0,0,244,0,0,EUR,EUR,244,1.0,
81,264,rs8176719,"rs8176746, rs8176743",16927,1303,189,0,10549,0,4204,"AFR, AMR, EUR, other",EUR,10549,1.0,
82,279,unclear,unclear,484,0,0,0,484,0,0,EUR,EUR,484,,
86,444,rs8176719,rs8176749,10569,0,0,0,10569,0,0,EUR,EUR,10569,1.0,1.0
87,904,rs8176719,,658,0,0,0,658,0,0,EUR,EUR,658,1.0,
88,934,rs8176719,,1481,0,0,0,1481,0,0,EUR,EUR,1481,1.0,
91,1022,rs687289,rs8176749,3506,0,0,0,3506,0,0,EUR,EUR,3506,0.8603,1.0
96,1124,rs657152,rs8176672,4175,0,0,0,4175,0,0,EUR,EUR,4175,0.9713,1.0
98,1149,rs8176719,,2518,0,0,0,2518,0,0,EUR,EUR,2518,1.0,
102,1252,rs505922,,530,0,0,0,530,0,0,EUR,EUR,530,0.8687,
103,1266,rs8176719,,290,0,0,0,290,0,0,EUR,EUR,290,1.0,
105,1372,unclear,unclear,104,0,0,0,104,0,0,EUR,EUR,104,,
112,1558,rs505922,,1055,0,0,0,1055,0,0,EUR,EUR,1055,0.8687,
114,1574,rs612169,rs8176672,1005,0,0,0,1005,0,0,EUR,EUR,1005,0.8528,1.0
118,1635,rs505922,,629,0,0,0,629,0,0,EUR,EUR,629,0.8687,
119,1661,rs657152,,361975,0,0,0,361975,0,0,EUR,EUR,361975,0.9713,
120,1668,rs8176719,,9754,0,0,0,9754,0,0,EUR,EUR,9754,1.0,
122,1706,rs8176719,,11566,0,0,0,11566,0,0,EUR,EUR,11566,1.0,
123,1763,rs529565,rs8176749,23603,5047,0,0,18556,0,0,"AFR, EUR",EUR,18556,0.8608,1.0
124,1813,rs8176719,rs8176720,4327,0,0,0,4327,0,0,EUR,EUR,4327,1.0,0.1816
126,1963,rs8176719,,219,0,0,0,219,0,0,EUR,EUR,219,1.0,
